Run,Efficiency_Gap,Party 0_Wasted,Party 1_Wasted
756,0.015375999999999999,0.307,0.431
757,0.015375999999999999,0.305,0.429
758,9.000000000000015e-06,0.356,0.353
759,0.015375999999999999,0.301,0.425
760,9.000000000000015e-06,0.366,0.363
761,9.000000000000015e-06,0.357,0.354
762,0.015375999999999999,0.302,0.426
763,9.000000000000015e-06,0.378,0.375
764,0.015375999999999999,0.295,0.419
765,9.000000000000015e-06,0.358,0.355
766,0.015375999999999999,0.308,0.432
767,0.015375999999999999,0.3,0.424
768,0.015375999999999999,0.291,0.415
769,0.015375999999999999,0.297,0.421
770,0.015375999999999999,0.294,0.418
771,9.000000000000015e-06,0.375,0.372
772,9.000000000000015e-06,0.359,0.356
773,9.000000000000015e-06,0.366,0.363
774,0.015375999999999999,0.297,0.421
775,9.000000000000015e-06,0.368,0.365
776,9.000000000000015e-06,0.36,0.357
777,9.000000000000015e-06,0.372,0.369
778,0.015375999999999999,0.299,0.423
779,9.000000000000015e-06,0.356,0.353
780,0.015375999999999999,0.306,0.43
781,9.000000000000015e-06,0.372,0.369
782,0.015375999999999999,0.292,0.416
783,9.000000000000015e-06,0.364,0.361
784,9.000000000000015e-06,0.366,0.363
785,9.000000000000015e-06,0.371,0.368
786,9.000000000000015e-06,0.368,0.365
787,9.000000000000015e-06,0.367,0.364
788,9.000000000000015e-06,0.364,0.361
789,9.000000000000015e-06,0.366,0.363
790,9.000000000000015e-06,0.373,0.37
791,9.000000000000015e-06,0.366,0.363
792,0.015375999999999999,0.304,0.428
793,0.015375999999999999,0.308,0.432
794,0.015375999999999999,0.305,0.429
795,9.000000000000015e-06,0.357,0.354
796,9.000000000000015e-06,0.368,0.365
797,9.000000000000015e-06,0.37,0.367
798,9.000000000000015e-06,0.348,0.345
799,9.000000000000015e-06,0.372,0.369
800,9.000000000000015e-06,0.353,0.35
801,9.000000000000015e-06,0.377,0.374
802,9.000000000000015e-06,0.374,0.371
803,9.000000000000015e-06,0.368,0.365
804,9.000000000000015e-06,0.358,0.355
805,9.000000000000015e-06,0.364,0.361
806,9.000000000000015e-06,0.372,0.369
807,0.015375999999999999,0.295,0.419
808,9.000000000000015e-06,0.364,0.361
