Run,Efficiency_Gap,Party 0_Wasted,Party 1_Wasted,Party 2_Wasted,Party 3_Wasted
715,0.31442,0.31,0.303,0.036,0.017
716,0.33592299999999997,0.366,0.236,0.036,0.017
717,0.31442,0.31,0.303,0.036,0.017
718,0.325672,0.314,0.309,0.036,0.017
719,0.294584,0.301,0.294,0.036,0.017
720,0.292564,0.302,0.291,0.036,0.017
721,0.30332,0.305,0.298,0.036,0.017
722,0.333731,0.365,0.235,0.036,0.017
723,0.354979,0.374,0.246,0.036,0.017
724,0.31097899999999995,0.306,0.304,0.036,0.017
725,0.29237199999999997,0.299,0.294,0.036,0.017
726,0.30445099999999997,0.306,0.298,0.036,0.017
727,0.309956,0.308,0.301,0.036,0.017
728,0.326171,0.361,0.233,0.036,0.017
729,0.314372,0.309,0.304,0.036,0.017
730,0.304355,0.304,0.3,0.036,0.017
731,0.309956,0.308,0.301,0.036,0.017
732,0.314372,0.309,0.304,0.036,0.017
733,0.340331,0.368,0.238,0.036,0.017
734,0.29667599999999994,0.3,0.297,0.036,0.017
735,0.32117599999999996,0.313,0.306,0.036,0.017
736,0.31327499999999997,0.309,0.303,0.036,0.017
737,0.299,0.304,0.295,0.036,0.017
738,0.33949899999999994,0.366,0.242,0.036,0.017
739,0.31241899999999995,0.241,0.349,0.036,0.017
740,0.304395,0.305,0.299,0.036,0.017
741,0.304395,0.305,0.299,0.036,0.017
742,0.30660299999999996,0.306,0.3,0.036,0.017
743,0.30768799999999996,0.306,0.301,0.036,0.017
744,0.294728,0.303,0.292,0.036,0.017
745,0.338123,0.367,0.237,0.036,0.017
746,0.31666399999999995,0.311,0.304,0.036,0.017
747,0.320019,0.312,0.306,0.036,0.017
748,0.30112399999999995,0.304,0.297,0.036,0.017
749,0.29666,0.298,0.299,0.036,0.017
750,0.29670799999999997,0.301,0.296,0.036,0.017
751,0.30102799999999996,0.3,0.301,0.036,0.017
752,0.31333099999999997,0.31,0.302,0.036,0.017
753,0.31241899999999995,0.241,0.349,0.036,0.017
754,0.302195,0.304,0.298,0.036,0.017
755,0.336676,0.365,0.24,0.036,0.017
756,0.32715999999999995,0.359,0.24,0.036,0.017
757,0.337684,0.366,0.239,0.036,0.017
758,0.294584,0.301,0.294,0.036,0.017
759,0.308747,0.304,0.304,0.036,0.017
760,0.304395,0.305,0.299,0.036,0.017
761,0.303224,0.302,0.301,0.036,0.017
762,0.311003,0.307,0.303,0.036,0.017
763,0.307736,0.307,0.3,0.036,0.017
764,0.290504,0.302,0.289,0.036,0.017
765,0.304395,0.305,0.299,0.036,0.017
